"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 01","15,605.48","15,646.09","15,923.29","15,558.16","1.12B","-0.33%"
"2024- 04- 30","15,657.82","15,920.89","15,978.84","15,657.71","1.14B","-2.04%"
"2024- 04- 29","15,983.08","16,005.67","16,020.54","15,886.30","948.84M","0.35%"
"2024- 04- 26","15,927.90","15,821.33","15,981.00","15,773.42","936.60M","2.03%"
"2024- 04- 25","15,611.76","15,375.26","15,644.51","15,343.91","972.67M","-0.64%"
"2024- 04- 24","15,712.75","15,799.44","15,838.79","15,635.22","944.86M","0.10%"
"2024- 04- 23","15,696.64","15,525.55","15,730.18","15,511.43","971.68M","1.59%"
"2024- 04- 22","15,451.30","15,394.54","15,538.82","15,265.95","923.32M","1.11%"
"2024- 04- 19","15,282.01","15,548.78","15,575.68","15,223.16","1.11B","-2.05%"
"2024- 04- 18","15,601.50","15,705.70","15,786.01","15,587.63","929.56M","-0.52%"
"2024- 04- 17","15,683.37","15,942.44","15,957.03","15,654.88","892.62M","-1.15%"
"2024- 04- 16","15,865.25","15,864.68","15,965.79","15,822.47","906.55M","-0.12%"
"2024- 04- 15","15,885.02","16,276.47","16,294.80","15,863.89","977.01M","-1.79%"
"2024- 04- 12","16,175.09","16,293.03","16,341.39","16,125.46","902.63M","-1.62%"
"2024- 04- 11","16,442.20","16,237.64","16,463.93","16,154.86","883.38M","1.68%"
"2024- 04- 10","16,170.36","16,104.01","16,199.58","16,092.37","987.74M","-0.84%"
"2024- 04- 09","16,306.64","16,328.76","16,347.81","16,141.92","881.92M","0.32%"
"2024- 04- 08","16,253.96","16,284.48","16,323.40","16,220.72","846.83M","0.03%"
"2024- 04- 05","16,248.52","16,095.40","16,325.98","16,080.83","898.01M","1.24%"
"2024- 04- 04","16,049.08","16,418.57","16,468.04","16,047.63","1.06B","-1.40%"
"2024- 04- 03","16,277.46","16,176.00","16,340.62","16,170.00","997.70M","0.23%"
"2024- 04- 02","16,240.45","16,200.10","16,251.29","16,138.51","1.03B","-0.95%"
"2024- 04- 01","16,396.83","16,397.46","16,490.02","16,328.02","924.21M","0.11%"
"2024- 03- 28","16,379.46","16,377.23","16,420.78","16,347.38","1.22B","-0.12%"
"2024- 03- 27","16,399.52","16,410.70","16,413.93","16,279.48","982.31M","0.51%"
"2024- 03- 26","16,315.70","16,459.99","16,475.14","16,314.63","997.56M","-0.42%"
"2024- 03- 25","16,384.47","16,335.30","16,441.13","16,316.12","892.04M","-0.27%"
"2024- 03- 22","16,428.82","16,387.73","16,467.48","16,361.30","875.02M","0.16%"
"2024- 03- 21","16,401.84","16,517.24","16,538.39","16,394.85","1.05B","0.20%"
"2024- 03- 20","16,369.41","16,185.76","16,377.44","16,127.48","1.03B","1.25%"
"2024- 03- 19","16,166.79","16,031.93","16,175.59","15,951.86","1.04B","0.39%"
"2024- 03- 18","16,103.45","16,154.92","16,247.59","16,094.17","1.04B","0.82%"
"2024- 03- 15","15,973.17","16,043.58","16,055.33","15,925.91","3.07B","-0.96%"
"2024- 03- 14","16,128.53","16,209.19","16,245.32","16,039.68","1.18B","-0.30%"
"2024- 03- 13","16,177.77","16,220.11","16,233.29","16,143.34","1.09B","-0.54%"
"2024- 03- 12","16,265.64","16,116.98","16,275.45","15,992.98","1.02B","1.54%"
"2024- 03- 11","16,019.27","16,052.63","16,085.95","15,978.04","970.77M","-0.41%"
"2024- 03- 08","16,085.11","16,322.10","16,449.70","16,059.50","1.09B","-1.16%"
"2024- 03- 07","16,273.38","16,147.32","16,309.02","16,096.01","1.03B","1.51%"
"2024- 03- 06","16,031.54","16,092.00","16,128.56","15,956.66","1.11B","0.58%"
"2024- 03- 05","15,939.59","16,077.74","16,087.57","15,862.63","1.16B","-1.65%"
"2024- 03- 04","16,207.51","16,264.21","16,289.06","16,199.06","1.17B","-0.41%"
"2024- 03- 01","16,274.94","16,109.83","16,302.24","16,096.60","1.10B","1.14%"
"2024- 02- 29","16,091.92","16,059.34","16,115.96","15,931.70","1.65B","0.90%"
"2024- 02- 28","15,947.74","15,969.14","16,003.56","15,924.72","1.10B","-0.55%"
"2024- 02- 27","16,035.30","16,013.98","16,046.10","15,940.51","1.10B","0.37%"
"2024- 02- 26","15,976.25","16,014.45","16,054.90","15,973.90","1.06B","-0.13%"
"2024- 02- 23","15,996.82","16,094.80","16,134.22","15,954.50","1.00B","-0.28%"
"2024- 02- 22","16,041.62","15,904.48","16,061.82","15,869.24","1.14B","2.96%"
"2024- 02- 21","15,580.87","15,532.12","15,583.68","15,451.65","984.02M","-0.32%"
"2024- 02- 20","15,630.78","15,679.84","15,730.47","15,508.50","1.10B","-0.92%"
"2024- 02- 16","15,775.65","15,910.43","15,917.41","15,752.02","1.12B","-0.82%"
"2024- 02- 15","15,906.17","15,865.30","15,911.22","15,779.71","1.22B","0.30%"
"2024- 02- 14","15,859.15","15,781.71","15,865.51","15,683.94","1.08B","1.30%"
"2024- 02- 13","15,655.60","15,598.88","15,770.42","15,551.44","1.21B","-1.80%"
"2024- 02- 12","15,942.54","15,980.62","16,080.07","15,917.87","1.09B","-0.30%"
"2024- 02- 09","15,990.66","15,842.38","16,007.29","15,831.76","1.08B","1.25%"
"2024- 02- 08","15,793.71","15,762.23","15,813.27","15,739.18","1.02B","0.24%"
"2024- 02- 07","15,756.64","15,690.35","15,770.67","15,645.80","943.13M","0.95%"
"2024- 02- 06","15,609.00","15,638.19","15,652.75","15,515.25","931.55M","0.07%"
"2024- 02- 05","15,597.68","15,613.99","15,637.88","15,471.68","923.28M","-0.20%"
"2024- 02- 02","15,628.95","15,403.16","15,664.21","15,366.78","956.87M","1.74%"
"2024- 02- 01","15,361.64","15,254.02","15,372.13","15,208.88","1.01B","1.30%"
"2024- 01- 31","15,164.01","15,324.19","15,405.55","15,158.49","1.29B","-2.23%"
"2024- 01- 30","15,509.90","15,604.08","15,619.23","15,484.67","915.72M","-0.76%"
"2024- 01- 29","15,628.04","15,470.66","15,630.58","15,449.87","959.39M","1.12%"
"2024- 01- 26","15,455.36","15,474.85","15,538.84","15,433.04","857.50M","-0.36%"
"2024- 01- 25","15,510.50","15,555.62","15,597.25","15,430.68","998.98M","0.18%"
"2024- 01- 24","15,481.92","15,560.61","15,629.07","15,468.91","932.89M","0.36%"
"2024- 01- 23","15,425.94","15,391.41","15,432.35","15,337.23","959.54M","0.43%"
"2024- 01- 22","15,360.29","15,393.05","15,438.85","15,333.63","1.04B","0.32%"
"2024- 01- 19","15,310.97","15,122.38","15,310.97","15,087.20","1.14B","1.70%"
"2024- 01- 18","15,055.65","14,994.52","15,066.81","14,911.11","1.04B","1.35%"
"2024- 01- 17","14,855.62","14,814.77","14,865.76","14,706.23","944.50M","-0.59%"
"2024- 01- 16","14,944.35","14,908.26","15,004.35","14,863.81","1.10B","-0.19%"
"2024- 01- 12","14,972.76","15,001.01","15,047.25","14,931.88","865.51M","0.02%"
"2024- 01- 11","14,970.18","15,020.95","15,063.61","14,800.38","1.00B","0.00%"
"2024- 01- 10","14,969.65","14,877.70","14,998.20","14,842.70","904.43M","0.75%"
"2024- 01- 09","14,857.71","14,744.13","14,894.32","14,716.71","959.65M","0.09%"
"2024- 01- 08","14,843.77","14,564.47","14,846.90","14,560.20","1.14B","2.20%"
"2024- 01- 05","14,524.07","14,500.11","14,625.19","14,477.57","1.01B","0.09%"
"2024- 01- 04","14,510.30","14,532.23","14,632.77","14,504.78","1.04B","-0.56%"
"2024- 01- 03","14,592.21","14,641.47","14,694.58","14,577.44","1.06B","-1.18%"
"2024- 01- 02","14,765.94","14,873.70","14,887.80","14,682.38","1.08B","-1.63%"
"2023- 12- 29","15,011.35","15,099.19","15,111.41","14,955.37","1.04B","-0.56%"
"2023- 12- 28","15,095.14","15,142.09","15,150.07","15,087.22","907.14M","-0.03%"
"2023- 12- 27","15,099.18","15,089.66","15,114.08","15,051.67","1.07B","0.16%"
"2023- 12- 26","15,074.57","15,028.69","15,101.18","15,024.06","871.34M","0.54%"
"2023- 12- 22","14,992.97","15,006.18","15,047.19","14,927.12","880.44M","0.19%"
"2023- 12- 21","14,963.87","14,923.14","14,970.81","14,837.47","945.08M","1.26%"
"2023- 12- 20","14,777.94","14,973.36","15,069.29","14,776.29","1.20B","-1.50%"
"2023- 12- 19","15,003.22","14,923.02","15,003.80","14,921.60","1.13B","0.66%"
"2023- 12- 18","14,905.19","14,814.02","14,938.04","14,811.82","1.15B","0.62%"
"2023- 12- 15","14,813.92","14,797.46","14,848.41","14,753.16","3.35B","0.35%"
"2023- 12- 14","14,761.56","14,798.72","14,855.62","14,642.23","1.58B","0.19%"
"2023- 12- 13","14,733.96","14,555.68","14,743.56","14,517.52","1.13B","1.38%"
"2023- 12- 12","14,533.40","14,423.01","14,533.40","14,385.39","939.56M","0.70%"
"2023- 12- 11","14,432.49","14,340.13","14,436.08","14,324.57","1.05B","0.20%"
"2023- 12- 08","14,403.97","14,279.45","14,416.92","14,264.96","997.65M","0.45%"
"2023- 12- 07","14,339.99","14,230.43","14,353.11","14,220.87","1.05B","1.37%"
"2023- 12- 06","14,146.71","14,325.62","14,327.64","14,138.51","1.02B","-0.58%"
"2023- 12- 05","14,229.91","14,126.40","14,285.66","14,121.76","1.11B","0.31%"
"2023- 12- 04","14,185.49","14,168.66","14,197.52","14,058.52","1.18B","-0.84%"
"2023- 12- 01","14,305.03","14,181.35","14,311.95","14,135.00","1.09B","0.55%"
"2023- 11- 30","14,226.22","14,265.05","14,289.20","14,127.06","1.53B","-0.23%"
